contract_id,contract_type,contract_text,cleaned_text
C0090,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Moore Group and Jones, Moore and Brown on 1989-10-28. Both parties agree to protect confidential information including strategize e-business e-markets. The obligations shall survive for 1 years.","this non-disclosure agreement (nda) is made between moore group and jones, moore and brown on 1989-10-28. both parties agree to protect confidential information including strategize e-business e-markets. the obligations shall survive for 1 years."
C0091,Employment Agreement,"This Employment Agreement is entered into by Gould, Martin and Ibarra and Wilson-Taylor on 1981-10-13. The employee will assume the role of Translator, with an annual salary of $120423.","this employment agreement is entered into by gould, martin and ibarra and wilson-taylor on 1981-10-13. the employee will assume the role of translator, with an annual salary of 120423."
C0092,Consulting Agreement,"This Consulting Agreement is signed on 2000-08-21 by Jones Ltd and Chen LLC. The consultant shall provide services related to visualize customized infrastructures, billed at $275/hour.","this consulting agreement is signed on 2000-08-21 by jones ltd and chen llc. the consultant shall provide services related to visualize customized infrastructures, billed at 275/hour."
C0093,Loan Agreement,This Loan Agreement is signed on 1983-06-09 between Cantrell-Gomez (lender) and Lyons and Sons (borrower). The lender agrees to provide a loan of $438697 at 9% interest.,this loan agreement is signed on 1983-06-09 between cantrell-gomez (lender) and lyons and sons (borrower). the lender agrees to provide a loan of 438697 at 9 interest.
C0094,Vendor Agreement,This Vendor Agreement is made on 1990-12-05 between Andrews-Mcdaniel and Miller-Munoz. The vendor agrees to supply door with payment terms of net 60 days.,this vendor agreement is made on 1990-12-05 between andrews-mcdaniel and miller-munoz. the vendor agrees to supply door with payment terms of net 60 days.
C0095,Consulting Agreement,"This Consulting Agreement is signed on 2004-09-27 by Martin-Ramos and Kramer, Hines and Baldwin. The consultant shall provide services related to grow e-business markets, billed at $338/hour.","this consulting agreement is signed on 2004-09-27 by martin-ramos and kramer, hines and baldwin. the consultant shall provide services related to grow e-business markets, billed at 338/hour."
C0096,Vendor Agreement,This Vendor Agreement is made on 1970-07-01 between Wood Group and Mitchell Ltd. The vendor agrees to supply production with payment terms of net 15 days.,this vendor agreement is made on 1970-07-01 between wood group and mitchell ltd. the vendor agrees to supply production with payment terms of net 15 days.
C0097,Loan Agreement,"This Loan Agreement is signed on 2012-11-10 between Thomas, Mcgee and Williams (lender) and Roberts-Roberts (borrower). The lender agrees to provide a loan of $322808 at 10% interest.","this loan agreement is signed on 2012-11-10 between thomas, mcgee and williams (lender) and roberts-roberts (borrower). the lender agrees to provide a loan of 322808 at 10 interest."
C0098,Consulting Agreement,"This Consulting Agreement is signed on 1986-06-04 by Adams, Moore and Mitchell and Wilson and Sons. The consultant shall provide services related to orchestrate viral vortals, billed at $103/hour.","this consulting agreement is signed on 1986-06-04 by adams, moore and mitchell and wilson and sons. the consultant shall provide services related to orchestrate viral vortals, billed at 103/hour."
C0099,Consulting Agreement,"This Consulting Agreement is signed on 1988-11-14 by Figueroa, Roberts and Turner and Guzman, Gonzalez and Rivera. The consultant shall provide services related to seize best-of-breed web services, billed at $288/hour.","this consulting agreement is signed on 1988-11-14 by figueroa, roberts and turner and guzman, gonzalez and rivera. the consultant shall provide services related to seize best-of-breed web services, billed at 288/hour."
C0100,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 2024-09-30 between Rodriguez, Jenkins and Hudson and Clark, Boyd and Green. The provider guarantees 99.9% uptime. Incidents must be resolved within 4 hours.","this service level agreement (sla) is signed on 2024-09-30 between rodriguez, jenkins and hudson and clark, boyd and green. the provider guarantees 99.9 uptime. incidents must be resolved within 4 hours."
C0101,Franchise Agreement,"This Franchise Agreement is entered into on 1981-05-06 between Duncan LLC (franchisor) and Johnson, Stewart and Kelley (franchisee). The franchisee is granted rights to operate under the Haas-Hendricks brand.","this franchise agreement is entered into on 1981-05-06 between duncan llc (franchisor) and johnson, stewart and kelley (franchisee). the franchisee is granted rights to operate under the haas-hendricks brand."
C0102,Lease Agreement,"This Lease Agreement is executed on 2023-11-10 between Whitehead, Conner and Watson (landlord) and Cruz Group (tenant). The lease covers property located at PSC 7821, Box 4478 APO AP 92775 for 1 years.","this lease agreement is executed on 2023-11-10 between whitehead, conner and watson (landlord) and cruz group (tenant). the lease covers property located at psc 7821, box 4478 apo ap 92775 for 1 years."
C0103,Lease Agreement,"This Lease Agreement is executed on 1974-11-28 between Vasquez LLC (landlord) and Martinez, May and Norman (tenant). The lease covers property located at 117 Ball Brooks Apt. 037 Colleenview, MI 06957 for 5 years.","this lease agreement is executed on 1974-11-28 between vasquez llc (landlord) and martinez, may and norman (tenant). the lease covers property located at 117 ball brooks apt. 037 colleenview, mi 06957 for 5 years."
C0104,Consulting Agreement,"This Consulting Agreement is signed on 1986-05-11 by Flores PLC and Murphy, Burgess and Rivera. The consultant shall provide services related to morph next-generation markets, billed at $416/hour.","this consulting agreement is signed on 1986-05-11 by flores plc and murphy, burgess and rivera. the consultant shall provide services related to morph next-generation markets, billed at 416/hour."
C0105,Employment Agreement,"This Employment Agreement is entered into by Brady-Johnson and Buckley LLC on 2009-10-08. The employee will assume the role of Diagnostic radiographer, with an annual salary of $143360.","this employment agreement is entered into by brady-johnson and buckley llc on 2009-10-08. the employee will assume the role of diagnostic radiographer, with an annual salary of 143360."
C0106,Vendor Agreement,"This Vendor Agreement is made on 2012-11-04 between Barrera Ltd and Klein, James and Gutierrez. The vendor agrees to supply give with payment terms of net 30 days.","this vendor agreement is made on 2012-11-04 between barrera ltd and klein, james and gutierrez. the vendor agrees to supply give with payment terms of net 30 days."
C0107,Employment Agreement,"This Employment Agreement is entered into by Jones, Bell and Palmer and Newman, Berg and Taylor on 1992-11-10. The employee will assume the role of Barista, with an annual salary of $122970.","this employment agreement is entered into by jones, bell and palmer and newman, berg and taylor on 1992-11-10. the employee will assume the role of barista, with an annual salary of 122970."
C0108,Franchise Agreement,"This Franchise Agreement is entered into on 2007-06-24 between Fleming-Rice (franchisor) and Martinez, Nelson and Davis (franchisee). The franchisee is granted rights to operate under the Serrano-Reed brand.","this franchise agreement is entered into on 2007-06-24 between fleming-rice (franchisor) and martinez, nelson and davis (franchisee). the franchisee is granted rights to operate under the serrano-reed brand."
C0109,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Johnson Inc and Gonzalez, Mosley and Jensen on 1975-10-02. Both parties agree to protect confidential information including visualize collaborative content. The obligations shall survive for 2 years.","this non-disclosure agreement (nda) is made between johnson inc and gonzalez, mosley and jensen on 1975-10-02. both parties agree to protect confidential information including visualize collaborative content. the obligations shall survive for 2 years."
C0110,Partnership Agreement,This Partnership Agreement is executed on 1991-02-04 between Carter-Hayes and Kaiser and Sons. Both partners will invest $243743. Profits and losses will be shared equally.,this partnership agreement is executed on 1991-02-04 between carter-hayes and kaiser and sons. both partners will invest 243743. profits and losses will be shared equally.
C0111,Employment Agreement,"This Employment Agreement is entered into by Newman-Smith and Trujillo Group on 2000-03-09. The employee will assume the role of Accommodation manager, with an annual salary of $183778.","this employment agreement is entered into by newman-smith and trujillo group on 2000-03-09. the employee will assume the role of accommodation manager, with an annual salary of 183778."
C0112,Consulting Agreement,"This Consulting Agreement is signed on 2011-04-28 by Johnson Inc and Kelly, Mccoy and Garza. The consultant shall provide services related to whiteboard integrated convergence, billed at $342/hour.","this consulting agreement is signed on 2011-04-28 by johnson inc and kelly, mccoy and garza. the consultant shall provide services related to whiteboard integrated convergence, billed at 342/hour."
C0113,Vendor Agreement,"This Vendor Agreement is made on 2012-10-21 between Sweeney Group and Gutierrez, Richardson and Thompson. The vendor agrees to supply anything with payment terms of net 15 days.","this vendor agreement is made on 2012-10-21 between sweeney group and gutierrez, richardson and thompson. the vendor agrees to supply anything with payment terms of net 15 days."
C0114,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 1970-03-13 between Sutton PLC and Jennings, Grimes and Bautista. The provider guarantees 99% uptime. Incidents must be resolved within 6 hours.","this service level agreement (sla) is signed on 1970-03-13 between sutton plc and jennings, grimes and bautista. the provider guarantees 99 uptime. incidents must be resolved within 6 hours."
C0115,License Agreement,"This License Agreement is made on 1994-02-18 between Dixon-Davis and Mullins, James and Garner. The licensor grants the licensee rights to use protect under conditions specified herein.","this license agreement is made on 1994-02-18 between dixon-davis and mullins, james and garner. the licensor grants the licensee rights to use protect under conditions specified herein."
C0116,License Agreement,"This License Agreement is made on 1995-05-02 between Richmond and Sons and Gonzales, Roberson and Alvarez. The licensor grants the licensee rights to use material under conditions specified herein.","this license agreement is made on 1995-05-02 between richmond and sons and gonzales, roberson and alvarez. the licensor grants the licensee rights to use material under conditions specified herein."
C0117,Partnership Agreement,"This Partnership Agreement is executed on 1979-03-21 between Schroeder-Evans and Moore, Montgomery and Wilson. Both partners will invest $71311. Profits and losses will be shared equally.","this partnership agreement is executed on 1979-03-21 between schroeder-evans and moore, montgomery and wilson. both partners will invest 71311. profits and losses will be shared equally."
C0118,Vendor Agreement,"This Vendor Agreement is made on 2012-03-27 between Pope, Mack and Terrell and Garcia Group. The vendor agrees to supply official with payment terms of net 45 days.","this vendor agreement is made on 2012-03-27 between pope, mack and terrell and garcia group. the vendor agrees to supply official with payment terms of net 45 days."
C0119,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Knapp, Norris and Barnes and Howe-Scott on 1989-07-17. Both parties agree to protect confidential information including exploit open-source web services. The obligations shall survive for 1 years.","this non-disclosure agreement (nda) is made between knapp, norris and barnes and howe-scott on 1989-07-17. both parties agree to protect confidential information including exploit open-source web services. the obligations shall survive for 1 years."
C0120,Vendor Agreement,This Vendor Agreement is made on 1996-03-09 between Hanson and Sons and Brooks-Owens. The vendor agrees to supply within with payment terms of net 45 days.,this vendor agreement is made on 1996-03-09 between hanson and sons and brooks-owens. the vendor agrees to supply within with payment terms of net 45 days.
C0121,Lease Agreement,"This Lease Agreement is executed on 2012-10-01 between Smith and Sons (landlord) and Mathis, Taylor and Stewart (tenant). The lease covers property located at 5423 Jacob Springs Suite 777 East Barbara, IL 07437 for 4 years.","this lease agreement is executed on 2012-10-01 between smith and sons (landlord) and mathis, taylor and stewart (tenant). the lease covers property located at 5423 jacob springs suite 777 east barbara, il 07437 for 4 years."
C0122,License Agreement,"This License Agreement is made on 1983-03-27 between Schwartz-Nelson and Jarvis, Turner and George. The licensor grants the licensee rights to use word under conditions specified herein.","this license agreement is made on 1983-03-27 between schwartz-nelson and jarvis, turner and george. the licensor grants the licensee rights to use word under conditions specified herein."
C0123,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Rodriguez, Rivas and Strong and Holden, Hood and Rodriguez on 2008-05-03. Both parties agree to protect confidential information including whiteboard seamless channels. The obligations shall survive for 4 years.","this non-disclosure agreement (nda) is made between rodriguez, rivas and strong and holden, hood and rodriguez on 2008-05-03. both parties agree to protect confidential information including whiteboard seamless channels. the obligations shall survive for 4 years."
C0124,Employment Agreement,"This Employment Agreement is entered into by Lopez LLC and Thomas-Atkins on 1977-10-09. The employee will assume the role of Air broker, with an annual salary of $123745.","this employment agreement is entered into by lopez llc and thomas-atkins on 1977-10-09. the employee will assume the role of air broker, with an annual salary of 123745."
C0125,Partnership Agreement,"This Partnership Agreement is executed on 2011-08-20 between Nolan-Adams and Lopez, Wood and Patel. Both partners will invest $149996. Profits and losses will be shared equally.","this partnership agreement is executed on 2011-08-20 between nolan-adams and lopez, wood and patel. both partners will invest 149996. profits and losses will be shared equally."
C0126,Franchise Agreement,"This Franchise Agreement is entered into on 1985-07-26 between Lewis-Ayala (franchisor) and Young-Logan (franchisee). The franchisee is granted rights to operate under the Pollard, Peters and Hughes brand.","this franchise agreement is entered into on 1985-07-26 between lewis-ayala (franchisor) and young-logan (franchisee). the franchisee is granted rights to operate under the pollard, peters and hughes brand."
C0127,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 2007-01-10 between Horton, Short and Allen and Holmes PLC. The provider guarantees 95% uptime. Incidents must be resolved within 6 hours.","this service level agreement (sla) is signed on 2007-01-10 between horton, short and allen and holmes plc. the provider guarantees 95 uptime. incidents must be resolved within 6 hours."
C0128,Franchise Agreement,"This Franchise Agreement is entered into on 1999-10-22 between Bradshaw, Lang and Mathews (franchisor) and Martin-Leonard (franchisee). The franchisee is granted rights to operate under the Gutierrez, Baird and Pierce brand.","this franchise agreement is entered into on 1999-10-22 between bradshaw, lang and mathews (franchisor) and martin-leonard (franchisee). the franchisee is granted rights to operate under the gutierrez, baird and pierce brand."
C0129,Lease Agreement,"This Lease Agreement is executed on 1999-12-24 between Harris, Russell and Mack (landlord) and Garcia and Sons (tenant). The lease covers property located at 30106 Hughes Circles Suite 230 Lake Shannonside, CA 39176 for 3 years.","this lease agreement is executed on 1999-12-24 between harris, russell and mack (landlord) and garcia and sons (tenant). the lease covers property located at 30106 hughes circles suite 230 lake shannonside, ca 39176 for 3 years."
C0130,Consulting Agreement,"This Consulting Agreement is signed on 2015-09-06 by Anderson-Williams and Aguilar LLC. The consultant shall provide services related to drive distributed channels, billed at $110/hour.","this consulting agreement is signed on 2015-09-06 by anderson-williams and aguilar llc. the consultant shall provide services related to drive distributed channels, billed at 110/hour."
C0131,Employment Agreement,"This Employment Agreement is entered into by Boyle, Evans and Rich and Roberson-Parker on 1990-06-24. The employee will assume the role of Magazine journalist, with an annual salary of $122910.","this employment agreement is entered into by boyle, evans and rich and roberson-parker on 1990-06-24. the employee will assume the role of magazine journalist, with an annual salary of 122910."
C0132,License Agreement,This License Agreement is made on 1970-01-24 between Rangel-Schmidt and Leon-Brown. The licensor grants the licensee rights to use site under conditions specified herein.,this license agreement is made on 1970-01-24 between rangel-schmidt and leon-brown. the licensor grants the licensee rights to use site under conditions specified herein.
C0133,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Moore, Ross and Thomas and Jensen-Walton on 1972-11-22. Both parties agree to protect confidential information including monetize synergistic communities. The obligations shall survive for 5 years.","this non-disclosure agreement (nda) is made between moore, ross and thomas and jensen-walton on 1972-11-22. both parties agree to protect confidential information including monetize synergistic communities. the obligations shall survive for 5 years."
C0134,Franchise Agreement,This Franchise Agreement is entered into on 1987-08-24 between Mann-Galloway (franchisor) and Vincent-Harris (franchisee). The franchisee is granted rights to operate under the Glenn LLC brand.,this franchise agreement is entered into on 1987-08-24 between mann-galloway (franchisor) and vincent-harris (franchisee). the franchisee is granted rights to operate under the glenn llc brand.
C0135,Franchise Agreement,"This Franchise Agreement is entered into on 2023-11-06 between Wilson LLC (franchisor) and Crawford, Stephens and Lee (franchisee). The franchisee is granted rights to operate under the Johnson Inc brand.","this franchise agreement is entered into on 2023-11-06 between wilson llc (franchisor) and crawford, stephens and lee (franchisee). the franchisee is granted rights to operate under the johnson inc brand."
C0136,Service Level Agreement,This Service Level Agreement (SLA) is signed on 1991-05-14 between Patterson LLC and Price Group. The provider guarantees 99.9% uptime. Incidents must be resolved within 6 hours.,this service level agreement (sla) is signed on 1991-05-14 between patterson llc and price group. the provider guarantees 99.9 uptime. incidents must be resolved within 6 hours.
C0137,Lease Agreement,"This Lease Agreement is executed on 1991-09-10 between Cook, Jones and Simmons (landlord) and Wilkinson LLC (tenant). The lease covers property located at 386 Regina Drives Apt. 498 North Dylan, FL 87209 for 2 years.","this lease agreement is executed on 1991-09-10 between cook, jones and simmons (landlord) and wilkinson llc (tenant). the lease covers property located at 386 regina drives apt. 498 north dylan, fl 87209 for 2 years."
C0138,License Agreement,"This License Agreement is made on 1992-08-29 between Morse-White and Ross, Hill and Brown. The licensor grants the licensee rights to use rate under conditions specified herein.","this license agreement is made on 1992-08-29 between morse-white and ross, hill and brown. the licensor grants the licensee rights to use rate under conditions specified herein."
C0139,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Morris-Hopkins and Rodgers, Wiggins and Davis on 2013-09-15. Both parties agree to protect confidential information including e-enable open-source methodologies. The obligations shall survive for 3 years.","this non-disclosure agreement (nda) is made between morris-hopkins and rodgers, wiggins and davis on 2013-09-15. both parties agree to protect confidential information including e-enable open-source methodologies. the obligations shall survive for 3 years."
C0140,Employment Agreement,"This Employment Agreement is entered into by Hampton Inc and Fernandez-Rodriguez on 2021-06-03. The employee will assume the role of Architectural technologist, with an annual salary of $169267.","this employment agreement is entered into by hampton inc and fernandez-rodriguez on 2021-06-03. the employee will assume the role of architectural technologist, with an annual salary of 169267."
C0141,Franchise Agreement,"This Franchise Agreement is entered into on 1993-05-31 between Bradley, Zimmerman and Nicholson (franchisor) and Mitchell-Page (franchisee). The franchisee is granted rights to operate under the Diaz, Baker and Dickerson brand.","this franchise agreement is entered into on 1993-05-31 between bradley, zimmerman and nicholson (franchisor) and mitchell-page (franchisee). the franchisee is granted rights to operate under the diaz, baker and dickerson brand."
C0142,Partnership Agreement,"This Partnership Agreement is executed on 2002-11-26 between Lin, Miller and Thomas and Rhodes PLC. Both partners will invest $200023. Profits and losses will be shared equally.","this partnership agreement is executed on 2002-11-26 between lin, miller and thomas and rhodes plc. both partners will invest 200023. profits and losses will be shared equally."
C0143,Lease Agreement,"This Lease Agreement is executed on 2010-04-17 between Johnson-Martin (landlord) and Coleman and Sons (tenant). The lease covers property located at 20804 Lee Lane Suite 141 West Richardshire, OK 84327 for 5 years.","this lease agreement is executed on 2010-04-17 between johnson-martin (landlord) and coleman and sons (tenant). the lease covers property located at 20804 lee lane suite 141 west richardshire, ok 84327 for 5 years."
C0144,License Agreement,This License Agreement is made on 1971-07-01 between Anderson-Davis and White PLC. The licensor grants the licensee rights to use threat under conditions specified herein.,this license agreement is made on 1971-07-01 between anderson-davis and white plc. the licensor grants the licensee rights to use threat under conditions specified herein.
C0145,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Powell PLC and Gallegos, Christensen and Shaw on 2022-02-16. Both parties agree to protect confidential information including monetize distributed info-mediaries. The obligations shall survive for 2 years.","this non-disclosure agreement (nda) is made between powell plc and gallegos, christensen and shaw on 2022-02-16. both parties agree to protect confidential information including monetize distributed info-mediaries. the obligations shall survive for 2 years."
C0146,Vendor Agreement,"This Vendor Agreement is made on 2007-05-04 between Terrell-Francis and Bryan, Saunders and Rivera. The vendor agrees to supply difference with payment terms of net 15 days.","this vendor agreement is made on 2007-05-04 between terrell-francis and bryan, saunders and rivera. the vendor agrees to supply difference with payment terms of net 15 days."
C0147,Employment Agreement,"This Employment Agreement is entered into by Smith and Sons and Hanson-Moore on 2002-03-09. The employee will assume the role of Physiotherapist, with an annual salary of $142178.","this employment agreement is entered into by smith and sons and hanson-moore on 2002-03-09. the employee will assume the role of physiotherapist, with an annual salary of 142178."
C0148,Franchise Agreement,"This Franchise Agreement is entered into on 1982-08-10 between Williams, Mora and Fletcher (franchisor) and Hernandez PLC (franchisee). The franchisee is granted rights to operate under the Ross-Melton brand.","this franchise agreement is entered into on 1982-08-10 between williams, mora and fletcher (franchisor) and hernandez plc (franchisee). the franchisee is granted rights to operate under the ross-melton brand."
C0149,Lease Agreement,"This Lease Agreement is executed on 1997-08-03 between Patrick, Rhodes and Hardin (landlord) and Miller PLC (tenant). The lease covers property located at 34557 Debra Fork Suite 636 East Samantha, ND 18361 for 4 years.","this lease agreement is executed on 1997-08-03 between patrick, rhodes and hardin (landlord) and miller plc (tenant). the lease covers property located at 34557 debra fork suite 636 east samantha, nd 18361 for 4 years."
C0150,License Agreement,"This License Agreement is made on 2005-11-30 between Johnson-Curry and Mitchell, Grant and Ramos. The licensor grants the licensee rights to use nor under conditions specified herein.","this license agreement is made on 2005-11-30 between johnson-curry and mitchell, grant and ramos. the licensor grants the licensee rights to use nor under conditions specified herein."
C0151,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 2025-08-05 between Walker, Anderson and Mays and Barron, Mcclure and Harrison. The provider guarantees 95% uptime. Incidents must be resolved within 4 hours.","this service level agreement (sla) is signed on 2025-08-05 between walker, anderson and mays and barron, mcclure and harrison. the provider guarantees 95 uptime. incidents must be resolved within 4 hours."
C0152,Service Level Agreement,This Service Level Agreement (SLA) is signed on 1977-05-04 between Miller-Jenkins and Brown-Williams. The provider guarantees 98% uptime. Incidents must be resolved within 12 hours.,this service level agreement (sla) is signed on 1977-05-04 between miller-jenkins and brown-williams. the provider guarantees 98 uptime. incidents must be resolved within 12 hours.
C0153,Lease Agreement,"This Lease Agreement is executed on 2011-01-11 between Evans, Doyle and Jones (landlord) and Holmes, Lopez and Morrow (tenant). The lease covers property located at 786 Luna River Sototon, ME 25102 for 5 years.","this lease agreement is executed on 2011-01-11 between evans, doyle and jones (landlord) and holmes, lopez and morrow (tenant). the lease covers property located at 786 luna river sototon, me 25102 for 5 years."
C0154,Employment Agreement,"This Employment Agreement is entered into by Smith Ltd and Terrell Group on 2018-04-11. The employee will assume the role of Surveyor, minerals, with an annual salary of $120584.","this employment agreement is entered into by smith ltd and terrell group on 2018-04-11. the employee will assume the role of surveyor, minerals, with an annual salary of 120584."
C0155,Employment Agreement,"This Employment Agreement is entered into by Wilcox-Hodges and Morales-Smith on 2002-01-31. The employee will assume the role of Personal assistant, with an annual salary of $66708.","this employment agreement is entered into by wilcox-hodges and morales-smith on 2002-01-31. the employee will assume the role of personal assistant, with an annual salary of 66708."
C0156,Franchise Agreement,"This Franchise Agreement is entered into on 2002-03-18 between Daniel Inc (franchisor) and Lamb, Crawford and Moore (franchisee). The franchisee is granted rights to operate under the Sims, Reyes and Ross brand.","this franchise agreement is entered into on 2002-03-18 between daniel inc (franchisor) and lamb, crawford and moore (franchisee). the franchisee is granted rights to operate under the sims, reyes and ross brand."
C0157,Partnership Agreement,This Partnership Agreement is executed on 2018-01-26 between Norton Inc and Lambert Inc. Both partners will invest $424807. Profits and losses will be shared equally.,this partnership agreement is executed on 2018-01-26 between norton inc and lambert inc. both partners will invest 424807. profits and losses will be shared equally.
C0158,Franchise Agreement,This Franchise Agreement is entered into on 1979-07-26 between Peterson-Mendoza (franchisor) and Mann-Singleton (franchisee). The franchisee is granted rights to operate under the Williams-Nelson brand.,this franchise agreement is entered into on 1979-07-26 between peterson-mendoza (franchisor) and mann-singleton (franchisee). the franchisee is granted rights to operate under the williams-nelson brand.
C0159,Franchise Agreement,"This Franchise Agreement is entered into on 1976-03-05 between Jones-Chase (franchisor) and Johnson Group (franchisee). The franchisee is granted rights to operate under the Clark, Leach and Brown brand.","this franchise agreement is entered into on 1976-03-05 between jones-chase (franchisor) and johnson group (franchisee). the franchisee is granted rights to operate under the clark, leach and brown brand."
C0160,Loan Agreement,This Loan Agreement is signed on 1979-11-12 between Watson-Johnson (lender) and Aguilar LLC (borrower). The lender agrees to provide a loan of $424293 at 11% interest.,this loan agreement is signed on 1979-11-12 between watson-johnson (lender) and aguilar llc (borrower). the lender agrees to provide a loan of 424293 at 11 interest.
C0161,Vendor Agreement,This Vendor Agreement is made on 2019-11-05 between Valenzuela-Chen and Coleman-Hanson. The vendor agrees to supply country with payment terms of net 60 days.,this vendor agreement is made on 2019-11-05 between valenzuela-chen and coleman-hanson. the vendor agrees to supply country with payment terms of net 60 days.
C0162,Vendor Agreement,This Vendor Agreement is made on 2019-08-09 between Massey Inc and Wheeler PLC. The vendor agrees to supply serve with payment terms of net 45 days.,this vendor agreement is made on 2019-08-09 between massey inc and wheeler plc. the vendor agrees to supply serve with payment terms of net 45 days.
C0163,Employment Agreement,"This Employment Agreement is entered into by Cole, Warner and Hogan and Robinson-Barber on 2021-01-03. The employee will assume the role of Production manager, with an annual salary of $145952.","this employment agreement is entered into by cole, warner and hogan and robinson-barber on 2021-01-03. the employee will assume the role of production manager, with an annual salary of 145952."
C0164,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 2021-10-12 between Weber, Johnson and Garcia and Smith, Ross and Brown. The provider guarantees 99% uptime. Incidents must be resolved within 2 hours.","this service level agreement (sla) is signed on 2021-10-12 between weber, johnson and garcia and smith, ross and brown. the provider guarantees 99 uptime. incidents must be resolved within 2 hours."
C0165,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Mendoza, Shaffer and Mitchell and Scott, Sanders and Silva on 1979-03-10. Both parties agree to protect confidential information including visualize next-generation content. The obligations shall survive for 2 years.","this non-disclosure agreement (nda) is made between mendoza, shaffer and mitchell and scott, sanders and silva on 1979-03-10. both parties agree to protect confidential information including visualize next-generation content. the obligations shall survive for 2 years."
C0166,License Agreement,This License Agreement is made on 2016-03-17 between Allen PLC and Bush-James. The licensor grants the licensee rights to use could under conditions specified herein.,this license agreement is made on 2016-03-17 between allen plc and bush-james. the licensor grants the licensee rights to use could under conditions specified herein.
C0167,Lease Agreement,"This Lease Agreement is executed on 1978-03-01 between Day-Patterson (landlord) and Jones-Baldwin (tenant). The lease covers property located at 8631 David Coves Suite 819 North Andrew, MN 84736 for 5 years.","this lease agreement is executed on 1978-03-01 between day-patterson (landlord) and jones-baldwin (tenant). the lease covers property located at 8631 david coves suite 819 north andrew, mn 84736 for 5 years."
C0168,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 1986-05-20 between Gonzalez, Fuller and Anderson and George, Tran and Hunt. The provider guarantees 99% uptime. Incidents must be resolved within 4 hours.","this service level agreement (sla) is signed on 1986-05-20 between gonzalez, fuller and anderson and george, tran and hunt. the provider guarantees 99 uptime. incidents must be resolved within 4 hours."
C0169,Loan Agreement,This Loan Agreement is signed on 2015-08-21 between Shelton-Mclean (lender) and Collins-Moss (borrower). The lender agrees to provide a loan of $495665 at 6% interest.,this loan agreement is signed on 2015-08-21 between shelton-mclean (lender) and collins-moss (borrower). the lender agrees to provide a loan of 495665 at 6 interest.
C0170,Lease Agreement,"This Lease Agreement is executed on 1971-04-09 between Contreras-Dawson (landlord) and Gray-Davis (tenant). The lease covers property located at 873 Jasmine Plain Apt. 868 Lake Christianhaven, MA 72903 for 2 years.","this lease agreement is executed on 1971-04-09 between contreras-dawson (landlord) and gray-davis (tenant). the lease covers property located at 873 jasmine plain apt. 868 lake christianhaven, ma 72903 for 2 years."
C0171,License Agreement,"This License Agreement is made on 1995-11-18 between Gray Group and Diaz, Wright and Smith. The licensor grants the licensee rights to use half under conditions specified herein.","this license agreement is made on 1995-11-18 between gray group and diaz, wright and smith. the licensor grants the licensee rights to use half under conditions specified herein."
C0172,Franchise Agreement,"This Franchise Agreement is entered into on 2025-02-26 between Willis, Cuevas and Weaver (franchisor) and Downs, Carroll and Pierce (franchisee). The franchisee is granted rights to operate under the Mendez LLC brand.","this franchise agreement is entered into on 2025-02-26 between willis, cuevas and weaver (franchisor) and downs, carroll and pierce (franchisee). the franchisee is granted rights to operate under the mendez llc brand."
C0173,Non-Disclosure Agreement,This Non-Disclosure Agreement (NDA) is made between Ford Ltd and Dillon LLC on 1997-11-18. Both parties agree to protect confidential information including reinvent robust systems. The obligations shall survive for 4 years.,this non-disclosure agreement (nda) is made between ford ltd and dillon llc on 1997-11-18. both parties agree to protect confidential information including reinvent robust systems. the obligations shall survive for 4 years.
C0174,Franchise Agreement,"This Franchise Agreement is entered into on 2004-09-24 between Nichols-Fowler (franchisor) and Diaz and Sons (franchisee). The franchisee is granted rights to operate under the Cortez, Booker and Sparks brand.","this franchise agreement is entered into on 2004-09-24 between nichols-fowler (franchisor) and diaz and sons (franchisee). the franchisee is granted rights to operate under the cortez, booker and sparks brand."
C0175,Employment Agreement,"This Employment Agreement is entered into by Thomas, Wilson and Villanueva and Hernandez Ltd on 1978-06-19. The employee will assume the role of Surgeon, with an annual salary of $96092.","this employment agreement is entered into by thomas, wilson and villanueva and hernandez ltd on 1978-06-19. the employee will assume the role of surgeon, with an annual salary of 96092."
C0176,License Agreement,"This License Agreement is made on 2006-08-15 between Guerra, Torres and Garcia and Jones Inc. The licensor grants the licensee rights to use which under conditions specified herein.","this license agreement is made on 2006-08-15 between guerra, torres and garcia and jones inc. the licensor grants the licensee rights to use which under conditions specified herein."
